round_id	candidate_type	candidate_id	feature_name	status	decision	review_action	review_slot	accepted_panel_score	baseline_panel_score	candidate_panel_score	accepted_panel_delta	delta_panel_score	partial_r	selection_score	description	artifact_dir	error
1	seed	ca1-reactive-astro-fraction	ca1_reactive_astro_fraction	completed	keep	add		0.4914		0.4914			-0.4913864246681738	0.4914	Does a higher reactive-astrocyte fraction within CA1 predict worse donor memory decline independent of standard neuropathology confounds?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0001/round_0001_worker	
2	candidate	ca1-peripyramidal-reactive-astro	ca1_pyramidal_near_reactive_astro_fraction_30um	completed	keep	add		0.5513	0.4914	0.5513	0.05990000000000001	0.0599	-0.5190730358441811	0.5191	Does the fraction of CA1 pyramidal neurons that sit near a reactive astrocyte predict donor memory decline better than, or add to, overall CA1 reactive astrocyte burden?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0002/round_0002_worker	
3	candidate	ca1-peripyramidal-reactive-astro-crowding	ca1_pyramidal_reactive_astro_crowding_fraction_k3_30um	completed	keep	add		0.5984	0.5513	0.5984	0.04710000000000003	0.0471	-0.524650855644326	0.5247	Does the fraction of CA1 pyramidal neurons surrounded by multiple nearby reactive astrocytes predict donor memory decline better than simple any-neighbor exposure?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0003/round_0003_worker	
4	candidate	ca1-peripyramidal-reactive-astro-area	ca1_peripyramidal_reactive_astro_area_median_30um_um2	completed	keep	add		0.6307	0.5984	0.6307	0.032299999999999995	0.0323	-0.3754509459578057	0.3755	Do donors with worse memory decline show larger hypertrophic reactive astrocytes specifically in the CA1 pyramidal-neuron niche, beyond the burden, exposure, and crowding signals already in the panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0004/round_0004_worker	
5	candidate	ca1-peripyramidal-astro-reactivity-index	ca1_peripyramidal_astro_reactivity_index_30um	completed	keep	add		0.6323	0.6307	0.6323	0.0015999999999999348	0.0016	-0.4866180169201582	0.4866	Do donors with worse memory decline show a higher fraction of reactive astrocytes among astrocyte-lineage cells specifically in the CA1 pyramidal-neuron niche, beyond the existing panel's burden, exposure, crowding, and size signals?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0005/round_0005_worker	
6	candidate	ca1-reactive-astro-pyramidal-isolation	ca1_pyramidal_reactive_astro_isolated_fraction_k5_30um	completed	keep	add		0.6347	0.6323	0.6347	0.0024000000000000687	0.0024	-0.5243735359829852	0.5244	Do donors with worse memory decline have a higher fraction of CA1 pyramidal neurons that are both exposed to nearby reactive astrocytes and locally depleted of neighboring pyramidal neurons?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0006/round_0006_worker	
7	candidate	ca1-peripyramidal-reactive-astro-lymphocyte-contact	ca1_peripyramidal_reactive_astro_lymphocyte_contact_fraction_20um	completed	keep	add		0.6491	0.6347	0.6491	0.014399999999999968	0.0144	0.17624792329598088	0.1762	Do donors with worse memory decline show a more lymphocyte-associated reactive astrocyte niche around CA1 pyramidal neurons beyond the current astrocyte-only CA1 panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0007/round_0007_worker	
8	candidate	ca1-pyramidal-reactive-astro-lymphocyte-triad	ca1_pyramidal_reactive_astro_lymphocyte_triad_fraction_25um	completed	keep	add		0.659	0.6491	0.659	0.00990000000000002	0.01	0.16041283077161414	0.1604	Do donors with worse memory decline have a higher fraction of CA1 pyramidal neurons that lie in a local tri-cell niche containing both a nearby reactive astrocyte and a nearby lymphocyte?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0008/round_0008_worker	
9	candidate	ca1-ra-exposed-pyramidal-lymphocyte-enrichment	ca1_ra_exposed_pyramidal_lym_ge1_fraction_25um	completed	keep	add		0.6594	0.659	0.6594	0.00039999999999995595	0.0004	0.15933151706227036	0.1593	Among CA1 pyramidal neurons already exposed to nearby reactive astrocytes, does the fraction that also lie in a lymphocyte-positive microenvironment predict worse memory decline better than the current simpler immune-contact features?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0009/round_0009_worker	
10	candidate	ca1-peripyramidal-ra-lymphocyte-area-burden	ca1_peripyramidal_ra_lymphocyte_area_burden_20um	completed	keep	add		0.7052	0.6594	0.7052	0.04580000000000006	0.0458	0.2106638897720902	0.2107	Do donors with worse memory decline show a greater burden of hypertrophic lymphocyte-contacting reactive astrocytes in the CA1 pyramidal niche, beyond the current panel's separate count-based astrocyte and immune-contact features?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_052101_efbee1/round_0010/round_0010_worker	
