round_id	candidate_type	candidate_id	feature_name	status	decision	review_action	review_slot	accepted_panel_score	baseline_panel_score	candidate_panel_score	accepted_panel_delta	delta_panel_score	partial_r	selection_score	description	artifact_dir	error
1	seed	ca1-pyramidal-abundance	ca1_pyramidal_fraction	completed	keep	add		0.294		0.294			0.29397628619873717	0.294	Does reduced CA1 pyramidal neuron abundance provide a strong donor-level marker of faster memory decline after adjusting for age, Braak stage, CERAD, and sex?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0001/round_0001_worker	
2	candidate	ca1-reactive-astrocyte-enrichment	ca1_reactive_astrocyte_enrichment	completed	keep	add		0.5071	0.294	0.5071	0.2131	0.2131	-0.4913864246681738	0.4914	Does increased reactive astrocyte enrichment in CA1 capture a glial injury-response signal that adds to CA1 pyramidal neuron depletion for predicting slope_zmem0?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0002/round_0002_worker	
3	candidate	ca1-pyramidal-reactive-proximity	ca1_pyramidal_reactive_astrocyte_neighbor_fraction	completed	keep	add		0.5189	0.5071	0.5189	0.011800000000000033	0.0118	0.19858651392796445	0.1986	Does the fraction of CA1 pyramidal neurons that sit in a local reactive-astrocyte neighborhood capture a neuron-glia injury niche that adds signal beyond separate CA1 pyramidal loss and reactive astrocyte enrichment?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0003/round_0003_worker	
4	candidate	ca1-reactive-astrocyte-hypertrophy	ca1_reactive_astrocyte_hypertrophy	completed	keep	add		0.5408	0.5189	0.5408	0.02189999999999992	0.0219	-0.3587882932618865	0.3588	Do donors with more hypertrophic reactive astrocytes in CA1 show faster memory decline beyond CA1 pyramidal loss, reactive astrocyte enrichment, and pyramidal-reactive proximity?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0004/round_0004_worker	
5	candidate	ca1-reactive-local-purity	ca1_reactive_local_purity	completed	keep	add		0.5485	0.5408	0.5485	0.00770000000000004	0.0077	-0.4781409264172288	0.4781	Do donors whose CA1 reactive astrocytes sit inside locally astrocyte-lineage neighborhoods with a higher reactive fraction show faster memory decline beyond overall CA1 reactive astrocyte enrichment, pyramidal proximity, and hypertrophy?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0005/round_0005_worker	
6	candidate	ca1-reactive-neuron-exclusion	ca1_reactive_neuron_exclusion	completed	keep	add		0.5527	0.5485	0.5527	0.0041999999999999815	0.0042	-0.25449022817848	0.2545	Do donors with more CA1 reactive astrocytes embedded in pyramidal-neuron-poor local microenvironments show faster memory decline beyond the current CA1 neuron-loss and reactive-astrocyte panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0006/round_0006_worker	
7	candidate	ca1-reactive-pyramidal-atrophy	ca1_reactive_pyramidal_niche_atrophy	completed	keep	add		0.5817	0.5527	0.5817	0.029000000000000026	0.029	-0.11777635722907648	0.1178	Do donors with smaller CA1 pyramidal neuron somata specifically inside reactive-astrocyte neighborhoods show faster memory decline beyond the current CA1 neuron-loss and reactive-niche panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0007/round_0007_worker	
8	candidate	ca1-reactive-oligodendrocyte-gap	ca1_reactive_oligodendrocyte_gap_r80px	completed	keep	add		0.587	0.5817	0.587	0.005299999999999971	0.0053	0.1350847981427036	0.1351	Do donors with more CA1 pyramidal neurons in reactive-astrocyte neighborhoods that lack nearby oligodendrocytes show faster memory decline beyond the current CA1 neuron-loss and reactive-niche panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0008/round_0008_worker	
9	candidate	ca1-reactive-corpora-amylacea-niche	ca1_reactive_corpora_amylacea_neighbor_fraction_r96px	completed	keep	add		0.5907	0.587	0.5907	0.0037000000000000366	0.0038	-0.12057008191446497	0.1206	Do donors with more CA1 pyramidal neurons in reactive-astrocyte neighborhoods that also contain nearby corpora amylacea show faster memory decline beyond the current CA1 neuron-loss and reactive-niche panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0009/round_0009_worker	
10	candidate	ca1-reactive-lymphocyte-niche	ca1-reactive-lymphocyte-niche	completed	keep	add		0.6288	0.5907	0.6288	0.03810000000000002	0.0381	-0.34918538042307623	0.3492	Do donors with more CA1 pyramidal neurons embedded in reactive-astrocyte niches that also contain nearby lymphocytes show faster memory decline beyond the current CA1 neuron-loss and reactive-gliosis panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_014751_94b13b/round_0010/round_0010_worker	
