round_id	candidate_type	candidate_id	feature_name	status	decision	review_action	review_slot	accepted_panel_score	baseline_panel_score	candidate_panel_score	accepted_panel_delta	delta_panel_score	partial_r	selection_score	description	artifact_dir	error
1	seed	ca1-reactive-astro-fraction	astrocytic_reactivity_fraction	completed	keep	add		0.4914		0.4914			-0.4913864246681738	0.4914	Does enrichment of reactive astrocytes within the CA1 pyramidal field capture memory decline signal beyond age, Braak, CERAD, and sex?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0001/round_0001_worker	
2	candidate	ca1-peripyramidal-reactivity	peripyramidal_reactivity_r35um	completed	keep	add		0.4964	0.4914	0.4964	0.0050000000000000044	0.0051	-0.4941062427089573	0.4941	Is the memory-decline signal in CA1 astrocytic reactivity strongest specifically in astrocytes immediately adjacent to CA1 pyramidal neurons rather than across CA1 as a whole?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0002/round_0002_worker	
3	candidate	ca1-reactive-cuffing	ca1_pyramidal_cuffed_fraction_r35um_ge1	completed	keep	add		0.5544	0.4964	0.5544	0.057999999999999996	0.0579	-0.5224246288415227	0.5224	Does the proportion of CA1 pyramidal neurons that are locally cuffed by reactive astrocytes capture memory-decline signal beyond the existing astrocyte-centric reactivity fractions?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0003/round_0003_worker	
4	candidate	ca1-reactive-cuff-severity	ca1_pyramidal_cuffed_fraction_r35um_ge2	completed	keep	add		0.5731	0.5544	0.5731	0.01870000000000005	0.0187	-0.5044313938122954	0.5044	Does severe reactive-astrocyte cuffing of CA1 pyramidal neurons, defined by multiple nearby reactive astrocytes rather than any single neighbor, better capture memory-decline signal than the current broader CA1 reactivity features?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0004/round_0004_worker	
5	candidate	ca1-reactive-dominant-cuff	ca1_pyramidal_supermajority_reactive_cuff_fraction_r35um_ge2	completed	keep	add		0.5766	0.5731	0.5766	0.0034999999999999476	0.0035	-0.529066905853846	0.5291	Does the fraction of CA1 pyramidal neurons embedded in predominantly reactive local astrocyte cuffs capture memory-decline signal beyond the current broad reactivity and reactive-count cuffing features?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0005/round_0005_worker	
6	candidate	ca1-peripyramidal-reactive-hypertrophy	ca1_peripyramidal_reactive_area_median_r35um	completed	keep	add		0.5944	0.5766	0.5944	0.017800000000000038	0.0178	-0.3165415805298732	0.3165	Does hypertrophy of reactive astrocytes in the immediate CA1 pyramidal niche capture memory-decline signal beyond the current count-based reactive cuffing features?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0006/round_0006_worker	
7	candidate	ca1-reactive-burden-area	ca1_pyramidal_mean_total_reactive_area_r35um	completed	discard	add		0.5944	0.5944	0.5945	0.0	0.0001	-0.5438190234145126	0.5438	Does the average total reactive astrocyte area surrounding CA1 pyramidal neurons capture perineuronal glial-burden signal for memory decline better than the current separate cuff-count and single-cell hypertrophy summaries?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0007/round_0007_worker	
8	candidate	ca1-immune-admixed-reactive-cuff	ca1_pyramidal_immune_admixed_reactive_cuff_fraction_r50um_ra2_ly1	completed	keep	add		0.6232	0.5944	0.6232	0.028799999999999937	0.0288	-0.47517659057284917	0.4752	Does the fraction of CA1 pyramidal neurons surrounded by a severe reactive-astrocyte cuff that also contains nearby lymphocytes capture an inflammatory perineuronal niche with memory-decline signal beyond the current astrocyte-only panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0008/round_0008_worker	
9	candidate	ca1-conditional-immune-cuff	ca1_conditional_immune_cuff_fraction_r50um_ra2_ly1	completed	keep	add		0.6317	0.6232	0.6317	0.008500000000000063	0.0085	-0.2779100692822113	0.2779	Among CA1 pyramidal neurons that already have a severe reactive-astrocyte cuff, does the fraction that are also lymphocyte-admixed capture a cleaner inflammatory niche signal for memory decline than the current mixed prevalence features?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0009/round_0009_worker	
10	candidate	ca1-conditional-dense-immune-cuff	ca1_conditional_immune_cuff_fraction_r50um_ra2_ly2	completed	keep	add		0.66	0.6317	0.66	0.028299999999999992	0.0283	0.14741487023984784	0.1474	Among CA1 pyramidal neurons that already have a severe reactive astrocyte cuff, does requiring multiple nearby lymphocytes identify a denser inflammatory perineuronal niche that predicts memory decline better than the current any-lymphocyte definition?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260421_001115_585b70/round_0010/round_0010_worker	
