ImageName,LineName,X1,Y1,X2,Y2,Length_px,Length_mm,MPP_X,MPP_Y
AI-LNCO2-0002_D_HE,Line1,36028.445821293695,25537.696287365285,47222.02748318483,17245.203450689067,13930.603284414923,6.406642422928129,0.459896983075791,0.459896983075791
AI-LNCO2-0002_E_HE,Line1,36118.739255014334,31655.243553008593,44334.212034383956,23080.343839541543,11875.306231191706,5.461417508826207,0.459896983075791,0.459896983075791
AI-LNCO2-0003_D_HE,Line1,45399.59897459717,9635.644160485128,30776.05742731923,16023.17424644501,15957.70998558398,7.3389026791684975,0.459896983075791,0.459896983075791
AI-LNCO2-0004_E_HE,Line1,10091.69009579736,12138.19350183777,29701.976506522526,17844.762666980972,20423.718191045315,9.392806379251892,0.459896983075791,0.459896983075791
AI-LNCO2-0005_F_HE,Line1,23409.40004452872,38065.52510466108,8254.898176565226,40168.432704960396,15299.710691431575,7.036290788921806,0.459896983075791,0.459896983075791
AI-LNCO2-0006_E_HE,Line1,47726.76217765043,33708.378223495696,15239.702005730662,16067.11747851003,36967.86657742786,17.001410309707445,0.459896983075791,0.459896983075791
AI-LNCO2-0007_F_HE,Line1,19714.591518601643,29313.703501416094,20044.35771192141,16480.404862125415,12837.534798686102,5.903943524046221,0.459896983075791,0.459896983075791
AI-LNCO2-0007_G_HE,Line1,22247.576323508372,26321.432470166757,14804.015877883565,18107.2831678363,11085.07288513008,5.097991577046578,0.459896983075791,0.459896983075791
AI-LNCO2-0007_N_HE,Line1,50182.11247662033,31588.839899300983,45372.85724918538,25932.268034377128,7424.671110942123,3.414583844252264,0.459896983075791,0.459896983075791
AI-LNCO2-0009_D_HE,Line1,35066.22164849758,24962.679778571517,37119.974704443215,13513.006491674627,11632.408176791523,5.1314165498220135,0.4411310600379373,0.4411310600379373
AI-LNCO2-0009_E_HE,Line1,29644.409452242475,23759.56991055283,27261.918177536023,9582.762325522866,14375.609134120734,6.341527696025733,0.4411310600379373,0.4411310600379373
AI-LNCO2-0009_F_HE,Line1,31954.438551938256,33776.456059211385,50115.842588785774,29067.953323493155,18761.838785201395,8.276429831576777,0.4411310600379373,0.4411310600379373
AI-LNCO2-0009_G_HE,Line1,33399.72258009249,39375.312495209335,27470.91273999066,16387.31139356746,23740.239694855154,10.47255710214617,0.4411310600379373,0.4411310600379373
AI-LNCO2-0010_G_HE,Line1,17730.935302820286,3800.5437732542728,17355.26309652455,20040.627612859178,16244.42835940925,7.470763594283135,0.459896983075791,0.459896983075791
AI-LNCO2-0011_1E_HE,Line1,32213.82726503952,1217.1427957372848,33705.47121106861,27237.51874683125,26063.09586940881,11.986339159956223,0.459896983075791,0.459896983075791
AI-LNCO2-0013_D_HE,Line1,28496.444896761794,10236.152829403098,28656.90103241147,15437.605893380307,5203.927377301256,2.393270500966361,0.459896983075791,0.459896983075791
AI-LNCO2-0013_E_HE,Line1,40922.82718127356,22887.913430921046,39261.50653276119,17998.675908325422,5163.780577206062,2.3748071087224347,0.459896983075791,0.459896983075791
AI-LNCO2-0014_E_HE,Line1,11745.706856541427,21590.07106258325,28995.32150460707,22515.533682747075,17274.422901158847,7.9444549766183075,0.459896983075791,0.459896983075791
AI-LNCO2-0014_F_HE,Line1,35488.460687703955,9843.558907723678,23399.422655003924,16447.15866286503,13775.063349479406,6.335110076103479,0.459896983075791,0.459896983075791
AI-LNCO2-0015_D_HE,Line1,38028.65329512894,9612.103151862464,33344.7335122677,33586.404334463914,24427.57093381092,11.234166176329525,0.459896983075791,0.459896983075791
AI-LNCO2-0015_E_HE,Line1,21493.769589195406,30295.995479731766,30378.353391670065,13617.714508118905,18897.113152840535,8.690725327833212,0.459896983075791,0.459896983075791
AI-LNCO2-0016_C_HE,Line1,40284.72986754979,47538.20835831455,50365.45010917347,69997.4600731085,24617.857505850425,10.85970157741869,0.4411310600379373,0.4411310600379373
AI-LNCO2-0016_D_HE,Line1,4721.879656160457,29681.32951289398,40265.53581661891,30420.722063037243,35551.34589007994,16.349956719131686,0.459896983075791,0.459896983075791
AI-LNCO2-0016_E_HE,Line1,37540.42656916514,34079.74649603899,49671.17611212675,13562.305911029858,23835.277481779885,10.961772204644907,0.459896983075791,0.459896983075791
AI-LNCO2-0017_2E_HE,Line1,42099.815485110026,42380.88156062117,41099.02310569581,3364.6358433471214,39029.07909824929,17.94935572951126,0.459896983075791,0.459896983075791
AI-LNCO2-0017_2F_HE,Line1,7567.997818697874,31077.58401935032,38489.87767847608,17734.082087274463,33678.059591874786,15.48843800214992,0.459896983075791,0.459896983075791
AI-LNCO2-0018_D_HE,Line1,12442.147964015041,18330.479308487338,16648.654214888793,14183.35902821416,5907.055227242508,2.7166368778709105,0.459896983075791,0.459896983075791
AI-LNCO2-0018_E_HE,Line1,76787.04044215987,45387.16034237749,96553.15856299062,25528.38854285535,28019.10496343753,12.360097473835427,0.4411310600379373,0.4411310600379373
AI-LNCO2-0018_F_HE,Line1,49936.380255941505,26733.39670932358,27387.787934186475,12215.809872029255,26817.892222751052,12.333467725694929,0.459896983075791,0.459896983075791
AI-LNCO2-0018_G_HE,Line1,18191.41335243607,30325.507973360487,16200.021072561762,24385.083545260823,6265.324061715101,2.8814036339749363,0.459896983075791,0.459896983075791
