round,loo_r,is_r,gap,adjusted
1,0.3044050492716397,0.4157,0.1113,0.3044
2,0.4357825827377155,0.5355,0.0997,0.4358
3,0.445529422174778,0.5697,0.1242,0.4455
4,0.4526529099330205,0.6107,0.158,0.4486
5,0.443526688116035,0.5683,0.1248,0.4435
6,0.443526688116035,0.5683,0.1248,0.4435
7,0.443526688116035,0.5683,0.1248,0.4435
8,0.6703871182969443,0.8249,0.1545,0.6681
9,0.7050601216326751,0.8474,0.1423,0.7051
10,0.7188321308903147,0.8503,0.1314,0.7188
11,0.7259490885444064,0.8439,0.1179,0.7259
12,0.7260893319580711,0.8433,0.1172,0.7261
13,0.7260893319580711,0.8433,0.1172,0.7261
14,0.7260893319580711,0.8433,0.1172,0.7261
15,0.7326601827558846,0.8899,0.1573,0.729
16,0.7467261559769331,0.9104,0.1637,0.7399
17,0.7612833739447038,0.9171,0.1558,0.7584
18,0.7704808111466362,0.92,0.1496,0.7705
19,0.7704808111466362,0.92,0.1496,0.7705
20,0.7888664800682337,0.9392,0.1503,0.7887
