round,loo_r,is_r,gap,adjusted
1,0.3028245978152032,0.4155,0.1126,0.3028
2,0.5650859211918088,,,
3,0.3028245978152032,0.4155,0.1126,0.3028
4,0.3320958548597969,0.4718,0.1397,0.3321
5,0.3028245978152032,0.4155,0.1126,0.3028
6,0.3991351365764861,0.5161,0.117,0.3991
7,0.412786975858899,0.5454,0.1326,0.4128
8,0.5404236073321629,0.8033,0.2629,0.484
9,0.4316450049683716,0.5966,0.165,0.4242
10,0.4350370980567705,0.6114,0.1764,0.4218
11,0.5597734304416468,0.8589,0.2992,0.4852
12,0.5597734304416468,0.8589,0.2992,0.4852
13,0.5597734304416468,0.8589,0.2992,0.4852
14,0.5284786567947151,0.7843,0.2558,0.4756
15,0.5660484737275593,0.8565,0.2905,0.4958
16,0.713219906782548,0.8646,0.1513,0.7126
17,0.7413572153800067,0.8648,0.1235,0.7414
18,0.7779055759658065,0.8888,0.1109,0.7779
19,0.7810649227062627,0.8936,0.1126,0.7811
20,0.7779055759658065,0.8888,0.1109,0.7779
