slide_name,ground_truth,TLAgent,LLaVA-Med,M3D,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM
49,True,True,False,N/A,False,True,False,N/A,False,True
50,True,True,False,N/A,False,True,False,N/A,False,False
51,True,True,False,N/A,False,True,False,N/A,False,False
52,True,True,False,N/A,False,True,False,N/A,False,False
53,True,True,False,N/A,False,True,False,N/A,False,True
54,False,False,False,N/A,True,True,False,N/A,False,False
55,False,False,False,N/A,False,N/A,True,N/A,False,False
56,False,False,False,N/A,False,True,False,N/A,False,False
57,False,False,False,N/A,False,True,False,N/A,False,False
58,True,False,False,N/A,False,True,False,N/A,False,False
66,True,True,False,N/A,False,True,False,N/A,False,False
67,True,False,False,N/A,False,True,False,N/A,False,False
68,True,False,False,N/A,False,True,False,N/A,False,False
69,True,True,False,N/A,True,True,False,N/A,False,False
70,True,False,False,N/A,False,True,False,N/A,False,False
71,True,True,False,N/A,False,True,True,N/A,False,False
72,True,True,False,N/A,True,True,False,N/A,False,False
73,True,True,False,N/A,True,True,False,N/A,False,False
74,True,True,False,N/A,False,True,True,N/A,False,False
75,True,True,False,N/A,False,True,False,N/A,False,False
76,True,True,False,N/A,False,True,False,N/A,False,False
77,True,True,False,N/A,False,True,False,N/A,False,False
78,True,False,False,N/A,False,True,False,N/A,False,False
79,True,True,False,N/A,False,False,False,N/A,False,False
80,True,True,False,N/A,True,True,False,N/A,False,False
81,True,True,False,N/A,False,True,False,N/A,False,False
82,True,False,False,N/A,False,True,False,N/A,False,False
83,True,False,False,N/A,False,True,False,N/A,False,False
84,True,False,False,N/A,False,True,False,N/A,False,False
85,True,True,False,N/A,False,True,False,N/A,False,True
86,True,False,False,N/A,False,True,False,N/A,False,False
87,True,True,False,N/A,False,True,False,N/A,False,False
88,True,True,False,N/A,False,True,False,N/A,False,False
89,True,True,False,N/A,False,True,True,N/A,False,False
90,True,False,False,N/A,False,True,False,N/A,False,False
91,True,True,False,N/A,True,True,False,N/A,True,True
92,True,True,False,N/A,True,True,False,N/A,False,False
93,True,False,False,N/A,False,True,True,N/A,False,True
94,True,False,False,N/A,False,True,True,N/A,False,False
95,False,False,False,N/A,False,True,False,N/A,False,False
96,False,False,False,N/A,True,True,False,N/A,False,False
97,True,True,False,N/A,False,True,True,N/A,False,False
98,False,False,False,N/A,False,True,False,N/A,False,N/A
99,False,False,False,N/A,False,False,False,N/A,False,False
100,False,False,False,N/A,True,True,False,N/A,False,False
101,False,False,False,N/A,False,True,False,N/A,False,False
102,False,False,False,N/A,False,True,False,N/A,False,False
103,False,False,False,N/A,False,True,False,N/A,False,False
104,False,True,False,N/A,False,True,False,N/A,False,False
105,False,False,False,N/A,False,True,False,N/A,False,True
106,False,False,False,N/A,False,True,False,N/A,False,False
107,False,False,False,N/A,False,True,False,N/A,False,True
108,False,True,False,N/A,True,True,False,N/A,False,False
109,False,False,False,N/A,True,True,False,N/A,False,True
110,False,False,False,N/A,True,False,False,N/A,False,False
111,False,False,False,N/A,False,True,False,N/A,False,False
112,False,False,False,N/A,False,False,False,N/A,False,False
113,False,False,False,N/A,False,True,False,N/A,False,False
114,False,False,False,N/A,False,True,False,N/A,False,False
115,False,True,False,N/A,False,N/A,False,N/A,False,False
116,False,False,False,N/A,False,False,False,N/A,False,False
117,False,False,False,N/A,True,True,True,N/A,False,False
118,False,False,False,N/A,True,True,False,N/A,False,False
119,False,False,False,N/A,False,True,False,N/A,False,True
120,False,False,False,N/A,False,True,False,N/A,False,False
121,False,False,False,N/A,True,True,False,N/A,False,False
122,False,False,False,N/A,False,True,False,N/A,False,False
123,False,False,False,N/A,False,N/A,False,N/A,False,False
124,False,False,False,N/A,False,True,False,N/A,False,False
125,False,True,False,N/A,True,True,False,N/A,False,False
126,False,False,False,N/A,True,False,False,N/A,False,False
127,False,False,False,N/A,False,True,False,N/A,False,False
128,False,False,False,N/A,False,True,False,N/A,False,False
129,False,False,False,N/A,False,N/A,False,N/A,False,False
130,False,False,False,N/A,False,True,False,N/A,False,True
