slide_name,ground_truth,TLAgent,LLaVA-Med,M3D,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MedAgent-Pro,MAM
49,False,False,False,N/A,False,True,False,N/A,False,True,True
50,False,False,True,N/A,False,True,False,N/A,False,True,True
51,False,False,True,N/A,False,True,False,N/A,False,True,True
52,False,False,False,N/A,False,False,False,N/A,False,True,True
53,False,False,True,N/A,False,False,False,N/A,False,True,True
54,False,False,False,N/A,True,True,False,N/A,False,True,True
55,False,False,False,N/A,False,True,False,N/A,False,True,True
56,False,False,False,N/A,False,False,False,N/A,False,True,True
57,False,False,False,N/A,False,False,True,N/A,False,True,True
58,False,False,False,N/A,False,True,False,N/A,False,True,True
66,False,False,False,N/A,False,False,False,N/A,False,True,True
67,False,False,False,N/A,False,False,False,N/A,False,True,True
68,False,False,False,N/A,True,False,False,N/A,False,True,True
69,False,False,False,N/A,True,True,False,N/A,False,True,True
70,False,False,False,N/A,False,False,False,N/A,False,True,True
71,False,False,False,N/A,False,True,False,N/A,False,True,True
72,False,False,False,N/A,True,False,False,N/A,False,True,True
73,False,False,False,N/A,True,False,False,N/A,False,True,True
74,False,False,False,N/A,False,False,False,N/A,False,True,True
75,False,False,True,N/A,False,True,False,N/A,False,True,True
76,False,False,True,N/A,False,True,False,N/A,False,True,True
77,False,False,False,N/A,False,False,False,N/A,False,True,True
78,False,False,False,N/A,False,False,False,N/A,False,True,True
79,False,False,False,N/A,False,False,False,N/A,False,True,True
80,True,True,False,N/A,True,True,False,N/A,False,True,True
81,False,True,True,N/A,False,False,False,N/A,False,True,True
82,False,False,False,N/A,False,True,False,N/A,False,True,True
83,False,False,False,N/A,False,False,False,N/A,False,True,True
84,False,False,True,N/A,False,True,False,N/A,False,True,True
85,True,False,False,N/A,False,True,False,N/A,False,True,True
86,False,False,False,N/A,False,False,False,N/A,False,True,True
87,False,False,False,N/A,False,True,False,N/A,False,True,True
88,False,False,False,N/A,False,True,False,N/A,False,True,True
89,False,False,False,N/A,False,False,True,N/A,False,True,True
90,False,False,False,N/A,False,True,False,N/A,False,True,True
91,True,True,False,N/A,False,False,False,N/A,True,True,True
92,True,False,False,N/A,False,False,False,N/A,False,True,True
93,False,False,False,N/A,False,False,True,N/A,False,True,True
94,True,False,False,N/A,False,True,False,N/A,False,True,True
95,False,False,False,N/A,False,False,False,N/A,False,True,True
96,False,False,False,N/A,True,False,False,N/A,False,True,True
97,False,False,False,N/A,False,False,False,N/A,False,True,True
98,False,False,True,N/A,False,False,False,N/A,False,True,True
99,False,False,False,N/A,False,True,False,N/A,False,True,True
100,False,False,False,N/A,False,True,False,N/A,False,True,True
101,False,False,False,N/A,False,True,False,N/A,False,True,True
102,False,False,False,N/A,False,True,False,N/A,False,True,True
103,False,False,False,N/A,False,False,False,N/A,False,True,True
104,False,False,False,N/A,False,True,False,N/A,False,True,True
105,False,False,False,N/A,False,True,False,N/A,False,True,True
106,False,False,False,N/A,False,False,False,N/A,False,True,True
107,False,False,False,N/A,False,True,False,N/A,False,True,True
108,False,False,True,N/A,True,True,False,N/A,False,True,True
109,False,False,False,N/A,True,False,False,N/A,False,True,True
110,False,False,False,N/A,True,False,False,N/A,False,True,True
111,False,False,False,N/A,True,False,False,N/A,False,True,True
112,False,False,False,N/A,False,False,False,N/A,False,True,True
113,False,False,False,N/A,False,True,False,N/A,False,True,True
114,False,False,False,N/A,False,True,False,N/A,False,True,True
115,False,False,False,N/A,True,False,False,N/A,False,True,True
116,False,False,False,N/A,False,False,False,N/A,False,True,True
117,False,False,False,N/A,True,True,False,N/A,False,True,True
118,False,False,False,N/A,True,True,False,N/A,False,True,True
119,False,False,False,N/A,False,True,False,N/A,False,True,True
120,False,False,False,N/A,False,False,False,N/A,False,True,True
121,False,False,False,N/A,True,False,False,N/A,False,True,True
122,False,False,False,N/A,True,True,False,N/A,False,True,True
123,False,False,False,N/A,False,False,False,N/A,False,True,True
124,False,False,False,N/A,False,True,False,N/A,False,True,True
125,False,False,True,N/A,False,True,False,N/A,False,True,True
126,False,False,False,N/A,True,True,False,N/A,False,True,True
127,False,False,True,N/A,False,False,False,N/A,False,True,True
128,False,False,False,N/A,False,False,False,N/A,False,True,True
129,False,False,False,N/A,False,False,False,N/A,False,False,True
130,False,False,False,N/A,False,False,False,N/A,False,True,True
