slide_name,ground_truth,TLAgent,LLaVA-Med,M3D,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4
49,True,True,False,N/A,False,True,False,N/A,False
50,True,True,False,N/A,False,True,False,N/A,False
51,True,True,False,N/A,False,True,False,N/A,False
52,True,True,False,N/A,False,True,False,N/A,False
53,True,True,False,N/A,False,False,False,N/A,False
54,False,False,False,N/A,True,True,False,N/A,False
55,False,False,False,N/A,False,True,True,N/A,False
56,False,False,False,N/A,False,True,False,N/A,False
57,False,False,False,N/A,False,True,False,N/A,False
58,True,False,False,N/A,False,True,False,N/A,False
66,True,True,False,N/A,False,True,False,N/A,False
67,True,False,False,N/A,False,True,False,N/A,False
68,True,False,False,N/A,False,True,False,N/A,False
69,True,True,False,N/A,True,True,False,N/A,False
70,True,False,False,N/A,False,True,False,N/A,False
71,True,True,False,N/A,False,True,True,N/A,False
72,True,True,False,N/A,True,True,False,N/A,False
73,True,True,False,N/A,True,True,False,N/A,False
74,True,True,False,N/A,False,N/A,True,N/A,False
75,True,True,False,N/A,False,True,False,N/A,False
76,True,True,False,N/A,False,True,False,N/A,False
77,True,True,False,N/A,False,N/A,False,N/A,False
78,True,False,False,N/A,False,True,False,N/A,False
79,True,True,False,N/A,False,False,False,N/A,False
80,True,True,False,N/A,True,True,False,N/A,False
81,True,True,False,N/A,False,True,False,N/A,False
82,True,False,False,N/A,False,True,False,N/A,False
83,True,False,False,N/A,False,True,False,N/A,False
84,True,False,False,N/A,False,True,False,N/A,False
85,True,True,False,N/A,False,False,False,N/A,False
86,True,False,False,N/A,False,True,False,N/A,False
87,True,True,False,N/A,False,True,False,N/A,False
88,True,True,False,N/A,False,True,False,N/A,False
89,True,True,False,N/A,False,True,True,N/A,True
90,True,False,False,N/A,False,True,False,N/A,False
91,True,True,False,N/A,True,False,False,N/A,False
92,True,True,False,N/A,True,True,False,N/A,False
93,True,False,False,N/A,False,True,True,N/A,False
94,True,False,False,N/A,False,True,True,N/A,False
95,False,False,False,N/A,False,True,False,N/A,False
96,False,False,False,N/A,True,True,False,N/A,False
97,True,True,False,N/A,False,True,True,N/A,False
98,False,False,False,N/A,False,True,False,N/A,False
99,False,False,False,N/A,False,False,False,N/A,False
100,False,False,False,N/A,True,True,False,N/A,False
101,False,False,False,N/A,False,False,False,N/A,False
102,False,False,False,N/A,False,False,False,N/A,False
103,False,False,False,N/A,False,True,False,N/A,False
104,False,True,False,N/A,False,False,False,N/A,False
105,False,False,False,N/A,False,N/A,False,N/A,False
106,False,False,False,N/A,False,True,False,N/A,False
107,False,False,False,N/A,False,False,False,N/A,False
108,False,True,False,N/A,True,True,False,N/A,False
109,False,False,False,N/A,True,True,False,N/A,False
110,False,False,False,N/A,True,True,False,N/A,False
111,False,False,False,N/A,False,False,False,N/A,False
112,False,False,False,N/A,False,True,False,N/A,False
113,False,False,False,N/A,False,True,False,N/A,False
114,False,False,False,N/A,False,True,False,N/A,False
115,False,True,False,N/A,False,True,False,N/A,False
116,False,False,False,N/A,False,True,False,N/A,False
117,False,False,False,N/A,True,True,True,N/A,False
118,False,False,False,N/A,True,True,False,N/A,False
119,False,False,False,N/A,False,True,False,N/A,False
120,False,False,False,N/A,False,True,False,N/A,False
121,False,False,False,N/A,True,True,False,N/A,False
122,False,False,False,N/A,False,True,False,N/A,False
123,False,False,False,N/A,False,True,False,N/A,False
124,False,False,False,N/A,False,True,False,N/A,False
125,False,True,False,N/A,True,True,False,N/A,False
126,False,False,False,N/A,True,True,False,N/A,False
127,False,False,False,N/A,False,True,False,N/A,False
128,False,False,False,N/A,False,True,False,N/A,False
129,False,False,False,N/A,False,True,False,N/A,False
130,False,False,False,N/A,False,True,False,N/A,False
