round_id	candidate_type	candidate_id	feature_name	status	decision	review_action	review_slot	accepted_panel_score	baseline_panel_score	candidate_panel_score	accepted_panel_delta	delta_panel_score	partial_r	selection_score	description	artifact_dir	error
1	seed	ca1-pyramidal-burden	ca1_pyramidal_burden__ca1_pyramidal_fraction	completed	keep	add		0.294		0.294			0.29397628619873717	0.294	Does reduced CA1 pyramidal neuron burden capture donor-level memory decline beyond age, sex, Braak stage, and CERAD score?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0001/round_0001_worker	
2	candidate	ca1-reactive-astrocyte-enrichment	ca1_reactive_astrocyte_enrichment__reactive_over_astroglial	completed	keep	add		0.5071	0.294	0.5071	0.2131	0.2131	-0.4913864246681738	0.4914	Does enrichment of reactive astrocytes within CA1 capture a gliosis signal for memory decline that is complementary to the accepted CA1 pyramidal neuron burden marker?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0002/round_0002_worker	
3	candidate	ca1-pyramidal-reactive-niche	ca1_pyramidal_reactive_niche__reactive_over_astroglial_neighbored_pyramidal_fraction_r70px	completed	keep	add		0.5076	0.5071	0.5076	0.000500000000000056	0.0005	-0.48366175658872934	0.4837	Does reactive astrocyte localization around CA1 pyramidal neurons capture a neuron-adjacent gliosis niche associated with memory decline beyond bulk CA1 neuronal loss and bulk reactive astrocyte enrichment?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0003/round_0003_worker	
4	candidate	ca1-reactive-astrocyte-hypertrophy	ca1_reactive_astrocyte_hypertrophy__reactive_minus_astrocyte_median_log1p_area_ca1	completed	keep	add		0.5425	0.5076	0.5425	0.03489999999999993	0.0349	-0.3575527378754102	0.3576	Does hypertrophy of CA1 reactive astrocytes, relative to homeostatic CA1 astrocytes, capture a reactive-state severity signal for memory decline beyond existing CA1 cell-composition markers?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0004/round_0004_worker	
5	candidate	ca1-reactive-astrocyte-microclustering	feature__reactive_minus_astrocyte_microcluster_fraction_r70px_k3	completed	keep	add		0.6581	0.5425	0.6581	0.11560000000000004	0.1156	-0.5125051225713361	0.5125	Does focal self-clustering of CA1 reactive astrocytes, relative to baseline CA1 astrocyte clustering, capture a patchy gliosis severity signal for memory decline beyond existing CA1 burden, enrichment, neuron-adjacent niche, and hypertrophy markers?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0005/round_0005_worker	
6	candidate	ca1-pyramidal-hotspot-exposure	feature__candidate_variant_a	completed	keep	add		0.6673	0.6581	0.6673	0.009199999999999986	0.0092	-0.5927359235636276	0.5927	Does the fraction of CA1 pyramidal neurons exposed to focal reactive-astrocyte hotspots, relative to exposure to baseline astrocyte hotspots, capture neuron-facing gliosis burden beyond the current CA1 panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0006/round_0006_worker	
7	candidate	ca1-reactive-hotspot-pyramidal-depletion	ca1_reactive_hotspot_pyramidal_depletion	completed	keep	add		0.7017	0.6673	0.7017	0.034399999999999986	0.0345	-0.054529997715664066	0.0436	Do CA1 reactive astrocyte hotspots occupy locally pyramidal-depleted niches, relative to baseline astrocyte hotspots, and does that focal neuron-loss pattern add signal beyond the current CA1 gliosis panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0007/round_0007_worker	
8	candidate	ca1-reactive-hotspot-oligodendrocyte-depletion	ca1_reactive_hotspot_oligodendrocyte_depletion	completed	keep	add		0.7096	0.7017	0.7096	0.007900000000000018	0.0078	0.3975754536323131	0.3976	Do CA1 reactive astrocyte hotspots sit in oligodendrocyte-poor niches, relative to matched homeostatic astrocyte hotspots, and does that focal glia-myelin support failure add signal beyond the current CA1 neuron-loss/gliosis panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0008/round_0008_worker	
9	candidate	ca1-reactive-hotspot-corpora-amylacea-enrichment	ca1_reactive_hotspot_corpora_amylacea_enrichment__reactive_minus_astro_hotspot_local_ca_fraction_r70px_k3	completed	keep	add		0.7129	0.7096	0.7129	0.0032999999999999696	0.0033	-0.25708028464774074	0.2571	Do CA1 reactive astrocyte hotspots sit in corpora-amylacea-rich niches, relative to matched homeostatic astrocyte hotspots, and does that focal chronic waste-accumulation signal add information beyond the current CA1 gliosis panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0009/round_0009_worker	
10	candidate	ca1-reactive-hotspot-lymphocyte-enrichment	ca1_reactive_hotspot_lymphocyte_enrichment__reactive_minus_astro_hotspot_local_lymphocyte_fraction_r70px_k3	completed	keep	add		0.7484	0.7129	0.7484	0.035499999999999976	0.0355	0.11446054788678556	0.0916	Do CA1 reactive astrocyte hotspots occupy lymphocyte-enriched local niches, relative to matched homeostatic astrocyte hotspots, and does that focal immune signal improve prediction of slope_zmem0 beyond the current CA1 panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_215745_90b105/round_0010/round_0010_worker	
